number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,log2_layer_3,activation_4,log2_layer_4,activation_5,final_activation,dropout,lr,epochs,scheduler,schel_t_max_mod,shchel_eta_min,schel_gamma,schel_step_size
0,0.17133837938308716,5,6,identity,6.0,gelu,2.0,identity,9.0,tanh,11.0,tanh,sigmoid,0.08625835726541828,0.005534110226740389,10,cosine,2.0,0.0001,,
1,0.05955276886622111,3,11,elu,6.0,gelu,4.0,identity,,,,,leaky_relu,0.11608281174237935,0.0033757868144147158,6,cosine,2.0,0.0,,
2,-2.6119362910588584,2,2,relu,2.0,elu,,,,,,,elu,0.10816031048631435,0.00021404733500780186,8,exponential,,,0.8557013290528558,
3,0.26892902453740436,2,8,leaky_relu,11.0,gelu,,,,,,,relu,0.020970516651138627,0.0004606337592609331,7,exponential,,,0.9745931802112555,
4,-0.022007306416829426,5,12,sigmoid,7.0,relu,3.0,relu,7.0,tanh,8.0,tanh,leaky_relu,0.012595521731272829,0.001996852568466235,6,step,,,0.6912066083975673,10.0
5,0.3091815114021301,1,6,identity,,,,,,,,,identity,0.05496719281673603,0.001438254234880794,6,step,,,0.48888968284094936,5.0
6,0.03352818886439005,5,3,identity,11.0,relu,4.0,identity,6.0,elu,9.0,relu,gelu,0.021782031835776042,0.00343869473956244,8,none,,,,
7,-0.049512505531311035,4,6,elu,8.0,elu,4.0,elu,6.0,tanh,,,leaky_relu,0.12937301078002195,0.0029538754155075467,7,none,,,,
8,0.3279770016670227,1,11,identity,,,,,,,,,gelu,0.11669594304498188,7.29212629368797e-05,9,step,,,0.49763749972066773,20.0
9,0.07688015699386597,3,2,tanh,11.0,identity,10.0,tanh,,,,,elu,0.08034397260628255,0.00045010684641077196,8,cosine,4.0,0.0001,,
10,-0.10280883312225342,1,9,gelu,,,,,,,,,gelu,0.14043283775610071,1.6394714920767466e-05,10,step,,,0.10606097624154243,30.0
11,0.2673843701680501,1,5,identity,,,,,,,,,identity,0.05554023857051112,6.411352673288095e-05,9,step,,,0.41808038506795225,20.0
12,0.15042908986409506,1,8,identity,,,,,,,,,tanh,0.0576928388173943,8.146271300983284e-05,9,step,,,0.4770619369479281,5.0
13,-1.7900105317433674,2,10,identity,2.0,sigmoid,,,,,,,identity,0.04786415889960456,1.1632583482916036e-05,9,step,,,0.31901171382842686,20.0
14,0.2792516549428304,1,4,gelu,,,,,,,,,identity,0.09935778691268063,0.0011443096474471662,7,step,,,0.623244243123927,15.0
15,0.1691686511039734,2,7,tanh,9.0,tanh,,,,,,,gelu,0.03881688076143143,5.3170558712511065e-05,6,step,,,0.2874876080330992,25.0
16,0.08890732129414876,1,12,sigmoid,,,,,,,,,relu,0.06701397686752639,0.0001612041348580997,9,step,,,0.5892522318129768,5.0
17,-0.020259499549865723,4,10,relu,4.0,leaky_relu,12.0,sigmoid,2.0,sigmoid,,,tanh,0.09189109449203174,0.0012113694667299118,8,none,,,,
18,-5.4476620356241865,2,5,leaky_relu,4.0,sigmoid,,,,,,,sigmoid,0.12459758087538798,2.258188175617026e-05,7,exponential,,,0.8002063960963881,
19,-1.7169105609258015,3,8,identity,9.0,leaky_relu,8.0,leaky_relu,,,,,gelu,0.14720648277230627,0.00958875737728608,10,step,,,0.3882984650158899,15.0
20,-0.013784348964691162,1,10,identity,,,,,,,,,identity,0.0755612789736633,0.0007783125880542314,9,step,,,0.5567361463426718,10.0
21,0.3146081169446309,1,4,gelu,,,,,,,,,identity,0.10419466489239468,0.0010566648489996402,7,step,,,0.6455633253015824,15.0
22,0.15852741400400797,1,4,gelu,,,,,,,,,identity,0.10439201047549372,0.0001364722362662937,6,step,,,0.6856307175525692,25.0
23,-2.1894760926564536,2,6,gelu,4.0,tanh,,,,,,,identity,0.11883765419772653,3.401629940524799e-05,7,step,,,0.5115784130168849,10.0
24,0.3274374008178711,1,4,gelu,,,,,,,,,identity,0.03664387512654166,0.0003485346227478354,6,step,,,0.46361376331432835,20.0
25,-0.11134964227676392,2,3,gelu,12.0,identity,,,,,,,gelu,0.001919392023933153,0.00026127675591508775,7,step,,,0.6684224324178707,20.0
26,-0.8823275963465372,1,4,gelu,,,,,,,,,identity,0.035834746087506676,0.0006259530986999295,8,cosine,0.0,0.001,,
27,0.31000928084055585,4,3,gelu,9.0,elu,7.0,gelu,12.0,relu,,,sigmoid,0.09553332945041837,0.00011638769171575025,6,none,,,,
28,-0.09343920151392619,2,5,gelu,3.0,identity,,,,,,,tanh,0.13005684146393426,0.0003441157923264046,7,exponential,,,0.9695626686290891,
29,0.28391116857528687,3,7,leaky_relu,6.0,relu,6.0,relu,,,,,elu,0.08565716756661393,3.482974004834018e-05,10,cosine,5.0,1e-06,,
30,0.2696167230606079,1,7,relu,,,,,,,,,relu,0.11297407896388012,0.0007620300558706285,6,step,,,0.3913892972556704,25.0
31,0.3523572285970052,4,3,gelu,9.0,elu,7.0,gelu,12.0,relu,,,sigmoid,0.09747453692052664,0.00012307112538948895,6,none,,,,
32,0.2875133156776428,4,2,gelu,10.0,elu,9.0,gelu,12.0,relu,,,sigmoid,0.06909967180495895,8.862686066498813e-05,6,none,,,,
33,-1.4130821625391643,5,3,elu,8.0,elu,6.0,gelu,10.0,identity,2.0,sigmoid,sigmoid,0.08918905692519888,0.0002075116022642537,6,none,,,,
34,-0.6979940334955851,4,4,gelu,12.0,leaky_relu,11.0,tanh,3.0,leaky_relu,,,sigmoid,0.10768839264192477,0.0003989933080225445,7,none,,,,
35,-3.971418778101603,3,2,sigmoid,7.0,sigmoid,6.0,sigmoid,,,,,leaky_relu,0.11685910546098852,4.47763841143999e-05,6,exponential,,,0.9213663655186475,
36,0.15890920162200928,2,11,tanh,5.0,tanh,,,,,,,gelu,0.10437061967586812,0.00019752277093391558,7,cosine,0.0,1e-05,,
37,0.3386823932329814,1,5,gelu,,,,,,,,,identity,0.13298644994232015,0.0002823787382235338,6,none,,,,
38,-2.3063533306121826,5,3,elu,10.0,elu,8.0,elu,9.0,gelu,3.0,identity,sigmoid,0.1384410289002989,9.965332688344635e-05,6,none,,,,
39,0.3495352665583293,2,5,relu,8.0,elu,,,,,,,elu,0.14908748195161028,0.0002738461979711103,6,none,,,,
40,0.2100474238395691,3,5,relu,8.0,elu,10.0,leaky_relu,,,,,elu,0.14764307842664898,0.00015452754137232493,6,none,,,,
41,-0.03731099764506022,1,5,relu,,,,,,,,,elu,0.13550972388513136,0.00025795143925060624,6,none,,,,
42,0.24078836043675741,2,6,relu,10.0,elu,,,,,,,elu,0.1240531724921596,0.000542414724289004,6,none,,,,
43,0.0980800191561381,1,6,gelu,,,,,,,,,leaky_relu,0.1304507563086041,7.18866305955172e-05,6,none,,,,
44,0.0201071302096049,1,4,leaky_relu,,,,,,,,,elu,0.14198022238169572,0.00031003012102765544,6,none,,,,
45,0.19582903385162354,2,8,sigmoid,7.0,gelu,,,,,,,relu,0.02719941407116419,0.0019434465315400554,6,none,,,,
46,0.0312811533610026,1,5,identity,,,,,,,,,identity,0.14924029767052013,0.0001850284824382705,9,none,,,,
47,0.1938878297805786,3,3,relu,5.0,elu,5.0,gelu,,,,,gelu,0.13488451763736453,0.0002901892755619248,7,none,,,,
48,0.22393661737442017,2,7,tanh,6.0,gelu,,,,,,,identity,0.12392765517988112,0.0004304751468259669,8,cosine,3.0,0.001,,
49,0.12074716885884602,1,9,gelu,,,,,,,,,elu,0.11341748008598393,0.00011157579799560735,10,exponential,,,0.8944497972446142,
